,Crypto Currency Name,Currency Symbol,Market Capital,Rate
0,Bitcoin,BTC,$1.26T,"$63,824.63"
1,Ethereum,ETH,$404.44B,"$3,314.97"
2,Tether USDt,USDT,$110.5B,$0.9995
3,BNB,BNB,$88.35B,$598.55
4,Solana,SOL,$64.01B,$143.16
5,USDC,USDC,$33.49B,$1.00
6,XRP,XRP,$28.9B,$0.5233
7,Dogecoin,DOGE,$21.57B,$0.1497
8,Toncoin,TON,$19.09B,$5.50
9,Cardano,ADA,$16.9B,$0.4741
10,Shiba Inu,SHIB,$14.72B,$0.00002498
11,Avalanche,AVAX,$13.18B,$34.84
12,TRON,TRX,$10.58B,$0.1208
13,Polkadot,DOT,$9.91B,$6.89
14,Bitcoin Cash,BCH,$9.48B,$481.44
15,Chainlink,LINK,$8.38B,$14.27
16,NEAR Protocol,NEAR,$7.79B,$7.30
17,Polygon,MATIC,$7.34B,$0.742
18,Litecoin,LTC,$6.32B,$84.86
19,Internet Computer,ICP,$6.32B,$13.64
